aqi,city,co,crawl_time,date,level,no2,o3,pm10,pm2_5,so2,spider
42,长春,0.6,,2018-12-01,优,28,46,42,22,17,
60,长春,1,,2018-11-01,良,48,40,69,38,19,
28,长春,0.6,,2018-10-01,优,22,52,23,10,4,
39,长春,0.7,,2018-10-02,优,31,59,35,14,5,
47,长春,0.7,,2018-09-01,优,26,66,49,17,5,
51,长春,0.6,,2018-08-01,良,26,101,42,13,4,
68,长春,0.6,,2018-08-02,良,38,121,54,15,6,
113,长春,0.9,,2018-08-03,轻度污染,30,174,65,24,5,
103,长春,0.7,,2018-07-01,轻度污染,41,163,58,23,5,
92,长春,0.9,,2018-07-02,良,73,36,88,34,6,
77,长春,0.6,,2018-07-03,良,39,132,56,20,5,
55,长春,0.5,,2018-07-04,良,36,106,41,12,5,
123,长春,1,,2018-06-01,轻度污染,39,185,82,35,10,
134,长春,0.7,,2018-06-02,轻度污染,28,197,93,29,9,
148,长春,0.7,,2018-06-03,轻度污染,25,212,98,36,8,
63,长春,0.6,,2018-05-01,良,29,115,65,18,6,
59,长春,0.6,,2018-05-02,良,23,101,68,27,5,
118,长春,1.3,,2018-04-01,轻度污染,42,148,145,89,15,
94,长春,0.9,,2018-04-02,良,27,141,137,60,13,
57,长春,0.7,,2018-04-03,良,26,93,63,29,8,
62,长春,0.8,,2018-03-01,良,28,90,74,34,24,
63,长春,0.9,,2018-03-02,良,35,93,76,32,30,
63,长春,0.9,,2018-03-03,良,29,82,66,45,24,
47,长春,0.8,,2018-03-04,优,37,83,38,27,24,
73,长春,1.2,,2018-02-01,良,50,60,70,53,58,
59,长春,1,,2018-02-02,良,39,59,57,42,38,
125,长春,1.6,,2018-01-01,轻度污染,44,47,150,95,45,
52,长春,1,,2017-12-01,良,40,0,61,38,54,
142,长春,1.2,,2017-11-01,轻度污染,50,78,143,113,29,
80,长春,0.9,,2017-10-01,良,22,116,110,24,9,
53,长春,0.9,,2017-10-02,良,38,62,59,17,11,
55,长春,1,,2017-09-01,良,42,99,58,21,11,
57,长春,0.9,,2017-09-02,良,47,88,53,19,11,
80,长春,1.1,,2017-08-01,良,32,136,56,26,10,
44,长春,1,,2017-08-02,优,22,88,41,18,9,
30,长春,0.9,,2017-08-03,优,18,61,19,10,7,
102,长春,1.5,,2017-07-01,轻度污染,33,163,102,60,9,
62,长春,1.3,,2017-07-02,良,32,115,69,40,8,
54,长春,1.1,,2017-07-03,良,36,105,34,13,8,
48,长春,0.9,,2017-06-01,优,34,70,47,19,11,
40,长春,0.9,,2017-06-02,优,34,66,33,15,11,
74,长春,1.1,,2017-05-01,良,48,129,99,35,13,
125,长春,1,,2017-05-02,轻度污染,29,188,108,34,15,
108,长春,1,,2017-05-03,轻度污染,23,169,90,29,13,
133,长春,1.6,,2017-04-01,轻度污染,68,144,155,104,29,
127,长春,1.5,,2017-04-02,轻度污染,63,130,170,100,27,
161,长春,2,,2017-04-03,中度污染,72,174,205,123,32,
39,长春,1.1,,2017-03-01,优,29,78,33,17,25,
52,长春,1.2,,2017-03-02,良,41,83,54,27,44,
62,长春,1.4,,2017-03-03,良,50,91,66,42,40,
46,长春,1.1,,2017-02-01,优,20,76,43,29,47,
83,长春,1.5,,2017-02-02,良,43,80,92,63,67,
158,长春,2.6,,2017-02-03,中度污染,68,76,146,123,85,
205,长春,2.5,,2017-02-04,重度污染,56,86,172,154,72,
223,长春,2.5,,2017-01-01,重度污染,54,40,194,173,74,
115,长春,2,,2017-01-02,轻度污染,52,56,108,87,69,
41,长春,1.1,,2016-12-01,优,29,50,41,22,40,
68,长春,1.6,,2016-12-02,良,54,35,79,49,70,
59,长春,1.1,,2016-11-01,良,39,51,67,33,44,
65,长春,1.3,,2016-11-02,良,45,48,79,40,44,
116,长春,1,,2016-10-01,轻度污染,37,177,86,41,13,
79,长春,1,,2016-10-02,良,42,125,86,58,13,
27,长春,0.6,,2016-09-01,优,21,27,19,10,6,
45,长春,0.6,,2016-09-02,优,23,89,26,15,6,
74,长春,0.6,,2016-08-01,良,36,128,43,24,6,
43,长春,0.5,,2016-07-01,优,27,86,22,11,4,
60,长春,0.6,,2016-07-02,良,46,112,46,24,8,
90,长春,0.5,,2016-07-03,良,38,147,42,19,7,
53,长春,0.7,,2018-12-02,良,24,67,55,34,15,
67,长春,1,,2018-11-02,良,47,62,71,48,20,
99,长春,1.2,,2018-11-03,良,42,117,86,74,20,
29,长春,0.5,,2018-11-04,优,23,33,27,15,9,
51,长春,0.9,,2018-11-05,良,34,40,52,24,15,
64,长春,1,,2018-11-06,良,41,44,77,42,13,
53,长春,1,,2018-10-03,良,39,63,56,26,7,
59,长春,1.2,,2018-10-04,良,42,93,68,33,7,
59,长春,1,,2018-10-05,良,44,89,68,32,6,
31,长春,0.5,,2018-09-02,优,17,60,29,11,5,
43,长春,0.6,,2018-09-03,优,19,86,24,12,4,
23,长春,0.5,,2018-09-04,优,18,46,15,7,4,
71,长春,0.9,,2018-08-04,良,17,125,58,29,4,
23,长春,0.5,,2018-08-05,优,19,43,18,8,3,
39,长春,0.7,,2018-08-06,优,28,71,38,12,4,
52,长春,0.6,,2018-07-05,良,41,83,43,13,5,
38,长春,0.6,,2018-07-06,优,26,76,32,11,5,
39,长春,0.6,,2018-07-07,优,27,69,39,18,4,
24,长春,0.6,,2018-07-08,优,19,41,19,10,4,
82,长春,0.6,,2018-06-04,良,21,138,79,31,6,
122,长春,0.9,,2018-06-05,轻度污染,28,184,92,44,7,
65,长春,0.9,,2018-06-06,良,35,117,70,42,6,
67,长春,1,,2018-06-07,良,52,107,67,35,6,
76,长春,0.6,,2018-06-08,良,34,131,39,17,5,
78,长春,0.5,,2018-05-03,良,28,106,105,24,5,
65,长春,0.6,,2018-05-04,良,34,117,75,36,6,
0,长春,0,,2018-05-05,无,37,0,0,0,6,
97,长春,0.6,,2018-05-06,良,34,98,144,26,6,
54,长春,0.6,,2018-05-07,良,31,98,58,21,6,
84,长春,0.8,,2018-04-04,良,36,110,87,62,13,
84,长春,0.8,,2018-04-05,良,31,89,83,62,13,
92,长春,0.9,,2018-04-06,良,34,86,98,68,12,
56,长春,0.7,,2018-04-07,良,33,93,62,28,13,
54,长春,0.9,,2018-03-05,良,43,85,37,29,25,
44,长春,0.8,,2018-03-06,优,35,81,32,23,20,
67,长春,1.1,,2018-03-07,良,51,70,60,48,33,
80,长春,1.1,,2018-03-08,良,57,90,62,59,32,
87,长春,1.1,,2018-02-03,良,46,54,74,64,41,
79,长春,1.3,,2018-02-04,良,45,62,70,58,37,
87,长春,1.4,,2018-02-05,良,46,61,77,64,38,
56,长春,0.9,,2018-01-02,良,34,44,62,34,53,
67,长春,1,,2018-01-03,良,43,41,78,48,58,
87,长春,1.1,,2018-01-04,良,49,44,98,64,53,
85,长春,1.1,,2018-01-05,良,46,46,92,63,55,
83,长春,1,,2018-01-06,良,44,50,95,61,54,
61,长春,1.2,,2017-12-02,良,48,0,102,75,52,
80,长春,1,,2017-12-03,良,40,0,82,65,44,
49,长春,1,,2017-12-04,优,36,0,62,40,51,
58,长春,1.2,,2017-12-05,良,40,0,67,43,51,
75,长春,0.8,,2017-11-02,良,49,23,81,65,19,
178,长春,1,,2017-11-03,中度污染,42,44,148,140,24,
66,长春,0.8,,2017-11-04,良,41,45,85,50,31,
95,长春,1.2,,2017-11-05,良,39,87,117,72,27,
119,长春,1.2,,2017-11-06,轻度污染,48,82,128,104,30,
50,长春,0.9,,2017-10-03,优,35,66,62,18,11,
62,长春,1,,2017-10-04,良,41,75,78,28,12,
67,长春,1.2,,2017-10-05,良,30,121,82,31,15,
75,长春,1,,2017-10-06,良,27,131,62,30,13,
70,长春,1.3,,2017-10-07,良,48,66,84,52,13,
91,长春,1.7,,2017-10-08,良,60,111,122,70,14,
52,长春,1,,2017-10-09,良,31,44,55,29,11,
59,长春,1.1,,2017-09-03,良,45,111,56,22,9,
56,长春,1,,2017-09-04,良,25,108,47,23,9,
43,长春,1,,2017-09-05,优,24,87,40,19,8,
40,长春,0.9,,2017-09-06,优,33,79,35,14,9,
54,长春,0.9,,2017-09-07,良,34,105,40,16,11,
35,长春,0.8,,2017-09-08,优,28,65,34,12,9,
45,长春,0.9,,2017-09-09,优,36,61,41,12,11,
71,长春,1.1,,2017-09-10,良,29,126,55,25,9,
