people_number,position_link,position_name,position_require,position_responsibility,position_type,publish_times,spider,time,work_location
1,https://hr.tencent.com/position_detail.php?id=46566&keywords=&tid=0&lid=0,27564-移动游戏运营开发工程师,"本科以上学历，计算机软件或相关专业；,3年及以上开发工作经验；,软件知识结构全面，基础扎实，精通常用数据结构与算法；,熟悉linux操作系统，了解Shell，能熟练使用linux系统下的PHP或C、C++进行编程；,熟悉MYSQL或其他大型数据库，能够快速根据需求完成高性能数据库设计，有网络系统的开发经验；,熟悉HTML/JS/CSS等技术，熟悉面向对象开发技术，具有互联网大型Web业务开发经验者优先；,高度的责任心、较强的抗压能力及出色的技术学习能力。,良好的沟通技巧和团队合作精神。","负责腾讯移动游戏在线营销活动、营销系统的开发工作；,负责官方游戏不同渠道的各类应用开发及维护工作；,不断探索游戏运营系统及组件的研发攻坚及技术优化。",技术类,2018-12-24,tenc_multi_grade,2018-12-24 19:30:38.865229,深圳
5,https://hr.tencent.com/position_detail.php?id=46487&keywords=&tid=0&lid=0,22989-专有云高级后台研发工程师（深圳/北京）,"计算机相关专业本科以上学历；3年以上工作经验； ,精通C/C++开发语言，熟悉python开发语言，对敏捷开发有一定的了解； ,深刻理解面向对象开发，具有较好的系统分析设计能力、文档撰写能力； ,熟悉Linux网络编程、有海量服务开发经验、熟悉互联网业务开发、熟悉一种以上overlay网络，熟悉一种以上高性能数据库，掌握MYSQL开发和优化；,积极进取、诚实正直、责任心强，有较好的沟通能力； ,具备大型分布式系统后台研发经验者， 有Openstack等云服务研发经验者优先。",负责腾讯专有云产品的技术规划，架构设计，后台研发，优化，维护工作。,技术类,2018-12-24,tenc_multi_grade,2018-12-24 19:30:39.177438,北京
2,https://hr.tencent.com/position_detail.php?id=46485&keywords=&tid=0&lid=0,25667-渠道销售经理（深圳）,"本科及以上学历，计算机、电信、市场营销或其它相关专业；,软件或互联网行业五年以上相关工作经验；,具有丰富的渠道销售、区域管理及长尾中小企业客户覆盖经验；,具有企业级应用软件销售经验，具有云计算及互联网行业渠道销售经验优先；,能够有效通过渠道覆盖中长尾客户，承担区域销售业绩；,能够建立区域渠道体系，有效处理渠道冲突与风险防范；,能够主导制定各种服务与激励方式，持续提高渠道合作伙伴的满意度；,具有出色的协调能力，良好的团队合作精神；为人诚信，工作敬业，有责任心。","担任腾讯云渠道经理，负责区域渠道体系建设及产品销售；,定期拜访渠道合作伙伴，充分了解客户需求并积极跟进，制定合理方案，负责方案提示、谈判，追踪公司相关部门的工作，保证方案的有效实施；,维持与现有合作伙伴的良好业务关系，及时更新公司产品信息，传达企业及品牌文化。",市场类,2018-12-24,tenc_multi_grade,2018-12-24 19:30:39.174645,深圳
1,https://hr.tencent.com/position_detail.php?id=46486&keywords=&tid=0&lid=0,SA-腾讯社交广告高级系统测试工程师（研发中心 北京）,"工科、计算机或其他相关专业本科以上学历；,熟悉C/C++/Java等至少一种编程语言,有Shell或Ruby/PHP/Perl/Python等使用经验者优先；,至少1年以上软件开发、自动化测试工作经验；,有性能、安全、白盒测试等专业测试领域经验者优先；,具备互联网广告、搜索、大数据处理、分布式系统、数据库和网络等业务领域测试经验者优先; ,熟悉Linux或Unix操作系统；,精通测试流程和测试用例设计方法,能主动进行技术钻研；,解决复杂问题和编写自动测试工具和系统的能力；,很强的逻辑思维能力,谈判的能力和冲突管理的能力；,善于团队合作,理解和适应变化,以结果和行动为准则,努力追求成功。","参与互联网软件产品测试的全流程，包括参与需求分析、设计评审，制定测试计划，设计和执行测试用例，进行缺陷跟踪和软件质量分析等；,制定测试计划，构建测试环境，执行集成测试，回归测试等； ,保证被测系统的质量，并通过测试流程和方法创新，努力提升研发的质量和效率。",技术类,2018-12-24,tenc_multi_grade,2018-12-24 19:30:39.176251,北京
1,https://hr.tencent.com/position_detail.php?id=46494&keywords=&tid=0&lid=0,28481-医疗健康事业部商务支持（深圳）,"1、5年以上ToB企业工作经验。,2、有过商务工作经验，或者正在从事商务合作类工作。例如需求管理，预算管理，合同洽谈，合同起草准备等。","1、梳理公司内部合同起草与审批流程。,2、根据公司产品性质，确定商务模式，与销售配合，起草销售合同，合作合同等。,3、与商务，财务配合，确定公司产品的商务定价策略，商务定价模型，根据定价建议，价格折扣审批策略。,4、审核各个销售合同，商务模式，价格合理性。,5、负责预算申请与管理，以及项目收付款相关工作。",市场类,2018-12-24,tenc_multi_grade,2018-12-24 19:30:39.172866,深圳
1,https://hr.tencent.com/position_detail.php?id=46491&keywords=&tid=0&lid=0,PCG15-海外渠道运营推广经理,"具备渠道运营合作经验，对互联网泛娱乐行业具备一定的理解；,具备强运营能力、数据敏感，具备一定的产品规划与需求撰写能力；,具有责任感、对结果负责，思路清晰、计划性强；,抗压强、具备团队协作精神，能够通过情商撬动更多协作；,性格开朗，有冲劲，保持正能量并愿意通过努力不断成长。","负责海外产品整体渠道推广规划，明确目标、预算及衡量标准；,跟进自投及代理效果，实时监控并适时调整策略，持续优化ROI并保证高效产出；,借助活动、社会化传播探索品效结合的推广与运营策略，并产生正向效果。",市场类,2018-12-24,tenc_multi_grade,2018-12-24 19:30:39.168951,深圳
1,https://hr.tencent.com/position_detail.php?id=46492&keywords=&tid=0&lid=0,SA-效果类行业运营经理（QQ系广告）深圳,"1. 3年以上互联网产品运营经验，有商业产品运营、产品策划经验者优先,2. 熟悉效果广告和腾讯社交广告平台，有广告账户运营和效果优化经验优先,3. 熟悉互联网广告系统原理，了解互联网广告发展和沿革趋势,4. 对数据敏感，具备优秀的运营分析能力,5. 有责任心，能够主动学习，沟通能力强，为人亲和，善于整合和调动资源,6. 本科及以上学历","1. 负责QQ系流量效果类广告（金融、教育方向）的行业运营工作，帮助广告主优化效果和提升消耗，帮助QQ系流量达成收入目标,2. 针对效果类广告主全生命周期的推广需求，结合QQ系流量优势，输出整体营销方案并落地实施,3. 持续总结和沉淀效果广告主的投放经验和打法，输出基于QQ系流量的行业解决方案,4. 协调组织产品、研发、设计、商务等各类型资源，达成运营目标",产品/项目类,2018-12-24,tenc_multi_grade,2018-12-24 19:30:39.170611,深圳
2,https://hr.tencent.com/position_detail.php?id=46490&keywords=&tid=0&lid=0,PCG15-海外直播运营经理,"本科及以上学历，3年以上娱乐产品平台运营工作经验；,热爱直播行业，对内容、主播、市场环境有较好的认知；,较强的逻辑思维能力与统筹协调能力，具备运营化思维 ；,能接受出长差，有拼搏精神。","深度参与海外项目的整体运营策略制定及落地保障；,制定并持续跟进优化本地化招募管理方案，对主播规模和营收增长负责。",产品/项目类,2018-12-24,tenc_multi_grade,2018-12-24 19:30:39.167398,深圳
1,https://hr.tencent.com/position_detail.php?id=46476&keywords=&tid=0&lid=0,28481-医疗健康UI开发工程师(深圳),"网页重构或web前端开发工作2年以上； ,精通HTML5，CSS3，JavaScript构建高性能web应用；掌握React或Vue并有相关实战经验，掌握主流前端构建工具grunt，gulp，webpack；,精通UI组件化开发、动效开发、响应式、多终端适配、无障碍有一定开发经验；,有node.js/vue/react开发经验者优先，有前端性能、工具研发方面的实践经验优先。,对Web性能、安全相关有一定的了解； ,有创新精神并能积极学习业界新技术，顺畅的沟通合作能力。","负责腾讯觅影，智慧医院等相关医疗产品的前端组件的编写，web开发工作；,根据产品与设计要求，不断优化前端架构，改善用户体验。参与相关UI组件体系的建立、维护等。",设计类,2018-12-24,tenc_multi_grade,2018-12-24 19:30:39.502591,深圳
1,https://hr.tencent.com/position_detail.php?id=46498&keywords=&tid=0&lid=0,TEG02-FPGA研发工程师,"本科及以上学历；,5年以上FPGA设计经验，熟悉Xilinx/Altera系列FPGA芯片的开发；,熟练掌握Verilog或VHDL逻辑电路设计编程语言，熟悉FPGA设计及仿真验证流程；,熟悉FPGA相关的常用高速接口电路设计原理（DDR、Serdes、PCIe等）；,熟悉TCP/IP协议，熟悉二层/三层/OVS网络协议优先；,熟悉linux/KVM，掌握自动化测试脚本语言的应用，并能够编写自动化测试程序；,思维缜密，逻辑性强，沟通能力强，良好的团队协作精神。","负责根据系统设计要求进行FPGA代码的设计、开发与验证； ,配合软件工程师进行产品设计过程中的软硬件联调和验证；,跟踪FPGA厂商产品及业界应用动态，根据业务需求进行FPGA的选型与评估。",技术类,2018-12-24,tenc_multi_grade,2018-12-24 19:30:39.380137,北京
1,https://hr.tencent.com/position_detail.php?id=46475&keywords=&tid=0&lid=0,28481-医药行业合作高级经理（深圳）,"1、全日制本科及以上学历，三年以上医药行业工作经验；,2、熟悉医药行业，有医药行业拓展、运营经验或创新平台运营经验；,3、具有独立的行业解决方案制定以及落地能力；,4、具备良好的沟通表达能力，清晰的思维逻辑，敏锐的洞察力，较强的自驱力和执行力；,5、对工作有高度的责任心和激情，注重团队合作，适应频繁差旅需求。","1、负责医药相关政府机构以及行业客户资源拓展（包括不限于生产企业、流通企业、零售终端、创新平台等专业领域）；,2、拓展相关行业合作伙伴以及合作机构，整合公司已有产品和资源，形成场景化的创新解决方案；,3、搜集整理医药行业的市场动态、政策变动等行业信息，解读反馈助推业务策略制定；,4、整合资源，设计制定并推进商业合作方案落地，有效撬动行业资源合作。",市场类,2018-12-24,tenc_multi_grade,2018-12-24 19:30:39.501735,深圳
1,https://hr.tencent.com/position_detail.php?id=46473&keywords=&tid=0&lid=0,25928-前端测试开发工程师（深圳）,"本科及以上学历，计算机相关专业，开发或者测试开发出身，有软件开发的基础；,2-3年以上软件行业或者互联网行业经验，熟悉Windows编程或Android/iOS编程；,熟悉软件开发流程，熟悉Android/iOS环境下自动化测试技术；,扎实的测试用例设计能力，熟悉主流自动化方法；,具备扎实的C++、C或Object-C程序设计基础。,有以下任意一项经验者优先：,较强的DEBUG能力；,有Android、iOS产品自动化测试经验。","负责平台类软件的测试开发工作；,负责平台组件的接口测试、单元测试工作；,能够在关键技术上给予团队技术指引和支持；,按时完成安排的移动端开发任务；,负责与项目组之间的协调，推动工作，帮助项目组推动整个项目质量的提升。",技术类,2018-12-24,tenc_multi_grade,2018-12-24 19:30:39.500913,深圳
